,title,link,summary
0,Преминуо Љубомир Радичевић,http://www.politika.rs/scc/clanak/449401/Preminuo-Ljubomir-Radicevic,"Љубомир Радичевић, редитељ филма „Љубав и мода”, педагог и уредник Телевизије Београд, преминуо је јуче у 93. години у Београду, потврдили су из Филмског центра Србије. Радичевић је рођен 1927. у Београду, дипломирао на Академији за..."
1,Више од сто хиљада људи у свету заражено коронавирусом,http://www.politika.rs/scc/clanak/449400/Vise-od-sto-hiljada-ljudi-u-svetu-zarazeno-koronavirusom,"ПАРИЗ – У свету је од новог коронавируса заражено више од 100.000 људи, од којих је умрло више од 3.400, у више од 90 земаља и територија, јавила је агенција Франс прес нови биланс. У свету су тачно заражене 100.002 особе, а умрло је..."
2,"Патријарх Иринеј упозорио на могуће физичке обрачуне, па и проливање крви у Црној Гори",http://www.politika.rs/scc/clanak/449399/Patrijarh-Irinej-upozorio-na-moguce-fizicke-obracune-pa-i-prolivanje-krvi-u-Crnoj-Gori,"Патријарх Српске православне цркве (СПЦ) Иринеј изразио је забринутост због, како је рекао, могућих физичких обрачуна, „чак и проливања крви” у Црној Гори, наводећи да постоје индиције да би се тако нешто могло догодити. „Порука..."
3,Турска обалска стража спасила 120 миграната,http://www.politika.rs/scc/clanak/449398/Turska-obalska-straza-spasila-120-migranata,"АНКАРА – Турска обалска стража спасила је код Измира рано јутрос око 120 миграната који су покушали да стигну до грчког острва на три гумена чамца, након што им је грчка обалска стража наводно блокирала пролаз. Како Ројтерс јавља, међу..."
4,"Српски играчи у топ форми, али је тим без хармоније",http://www.politika.rs/scc/clanak/449397/Sport/Srpski-igraci-u-top-formi-ali-je-tim-bez-harmonije,"Специјално за „Политику” Осло – Биће то жесток, неизвестан окршај две легије странаца. У полуфиналној утакмици за пласман на предстојеће фудбалско европско првенство, норвешка фудбалска репрезентација, готово као и српска, углавном..."
5,Војска спремна да заштити границу Србије,http://www.politika.rs/scc/clanak/449395/Vojska-spremna-da-zastiti-granicu-Srbije,Министар одбране Александар Вулин изјавио је да је Војска Србије спремна да заштити нашу границу и спречи било какво кретање ако председник Александар ВучИћ процени да је то потребно. „Уколико председник Републике и врховни командант...
6,"Мушкарац возио са 3,39 промила алкохола у крви",http://www.politika.rs/scc/clanak/449393/Muskarac-vozio-sa-3-39-promila-alkohola-u-krvi,"КРАГУЈЕВАЦ – Мушкарац (43) у месту Голочело управљао је возилом са 3,39 промила алкохола у крви, услед чега је изгубио контролу и слетео са пута. У тој саобраћајној незгоди није било повређених. Полиција је саопштила да је против возача..."
7,Шеснаестогодишњак смештен у карантин лесковачке болнице због сумње у коронавирус,http://www.politika.rs/scc/clanak/449391/Sesnaestogodisnjak-smesten-u-karantin-leskovacke-bolnice-zbog-sumnje-u-koronavirus,"ЛЕСКОВАЦ – Дечак (16) из Власотинца смештен је данас у карантин на Инфективном одељењу Опште болнице у Лесковцу због сумње да је оболео од коронавируса, потврдио је агенцији Бета директор те болнице Небојша Димитријевић. Димитријевић је..."
8,Израел земља енергетске ефикасности,http://www.politika.rs/scc/clanak/449389/Izrael-zemlja-energetske-efikasnosti,"Кинеска пословица каже „И пут од хиљаду миља почиње првим кораком”. Кад је реч о примени обновљивих извора енергије (ОИЕ) код нас, тај „први корак” требало би да учинимо што пре, без одлагања. Прелазак са фосилног енергента – угља на..."
9,Ђоковић подржао литије у Црној Гори,http://www.politika.rs/scc/clanak/449390/Dokovic-podrzao-litije-u-Crnoj-Gori,"Најбољи тенисер света Новак Ђоковић послао је данас поруку подршке Србима у Црној Гори. „Поздрав и подршка за братски народ у Црној Гори”, написао је Ђоковић на Твитеру и то ћирилицом. Срби у Црној Гори већ неколико месеци одржавају..."
10,Турска шаље специјалце да штите мигранте,http://www.politika.rs/scc/clanak/449387/Turska-salje-specijalce-da-stite-migrante,"Од нашег дописника Атина – Ситуација на грчко-турској граници је нешто мирнија после окршаја претходних дана, када је турска полиција испаљивала сузавaц на грчку полицију и војску. Међутим, Турска шаље хиљаду специјалаца да, како каже..."
11,"Кад се перје распе, тешко га је покупити",http://www.politika.rs/scc/clanak/449388/Mozaik/Kad-se-perje-raspe-tesko-ga-je-pokupiti,"Први пут се на малом екрану појавио 28. јуна 1990. године, на Видовдан, водио је Јутарњи дневник већ после седмог дана рада у ТВ Београд. Строга, поштована лекторка и дугогодишњи спикер Радио Београда Драга Јонаш била је пуна речи..."
12,Роналдињо избегао оптужбу због коришћења лажног пасоша Парагваја,http://www.politika.rs/scc/clanak/449378/Sport/Ronaldinjo-izbegao-optuzbu-zbog-koriscenja-laznog-pasosa-Paragvaja,"АСУНСИОН – Некада најбољи фудбалер света Бразилац Роналдињо и његов брат Роберто Азис неће бити кривично гоњени, након што су у Парагвају ухапшени због лажног пасоша и личне карте те земље, преноси Ројтера. Како се наводи, државни..."
13,Предаја олимпијске бакље без присуства деце због коронавируса,http://www.politika.rs/scc/clanak/449376/Sport/Ostali-sportovi/Predaja-olimpijske-baklje-bez-prisustva-dece-zbog-koronavirusa,"ТОКИО – Церемонија предаје олимпијске бакље, заказана за 19. март у Грчкој, биће одржана без присуства деце због ситуације са корнавирусом, саопштио је председник организационог одбора Олимпијских игара у Токију Јоширо Мори. Како..."
14,Макаби у „Штарк арени”,http://www.politika.rs/scc/clanak/449375/Sport/Kosarka/Makabi-u-Stark-areni,"Без одмора и правог тренинга кошаркаше Црвене звезде два дана после гостовања Фенербахчеу очекује још веће искушење. У „Штарк арену” долази славни Макаби (19 часова), шестоструки европски првак, који уз водећи Ефес и два шпанска гиганта..."
15,Вучић: Нема места паници због коронавируса,http://www.politika.rs/scc/clanak/449374/Vucic-Nema-mesta-panici-zbog-koronavirusa,"Председник Александар Вучић поновио је данас, након што је откривен први случај коронавируса у Србији, да нема потребе за панику, да надлежни органи раде свој посао како би заштитили здравље грађана и да ће о свему благовремено..."
